lead_id,open_rate,click_rate,czas_od_kontaktu,liczba_pracownikow,segment,region,recommended_action,target
LEAD-0028,0.51,0.98,52,5,przychodnia,wielkopolskie,call,0
LEAD-0029,0.59,0.26,36,8,samodzielna,mazowieckie,email,1
LEAD-0030,0.05,0.65,73,42,samodzielna,pomorskie,offer,1
LEAD-0031,0.61,0.2,19,32,przychodnia,pomorskie,email,1
LEAD-0032,0.17,0.57,38,40,samodzielna,mazowieckie,email,1
LEAD-0033,0.07,0.46,70,35,samodzielna,wielkopolskie,offer,0
LEAD-0034,0.95,0.97,79,7,samodzielna,wielkopolskie,email,1
LEAD-0035,0.97,0.61,57,39,samodzielna,mazowieckie,offer,0
LEAD-0036,0.81,0.35,20,46,samodzielna,pomorskie,call,0
LEAD-0037,0.3,0.11,9,35,samodzielna,mazowieckie,email,0
LEAD-0038,0.1,0.15,32,45,przychodnia,pomorskie,offer,0
LEAD-0039,0.68,0.23,4,16,przychodnia,mazowieckie,offer,1
LEAD-0040,0.44,0.25,50,15,przychodnia,pomorskie,email,0
LEAD-0041,0.12,0.85,82,7,samodzielna,mazowieckie,call,1
LEAD-0042,0.5,0.56,5,38,samodzielna,slaskie,email,0
LEAD-0043,0.03,0.52,20,33,samodzielna,pomorskie,offer,0
LEAD-0044,0.91,0.11,87,4,przychodnia,wielkopolskie,call,0
LEAD-0045,0.26,0.86,75,4,samodzielna,mazowieckie,email,1
LEAD-0046,0.66,0.72,37,23,przychodnia,wielkopolskie,offer,0
LEAD-0047,0.31,0.07,22,23,samodzielna,mazowieckie,email,0
LEAD-0048,0.52,0.71,58,11,samodzielna,wielkopolskie,call,0
LEAD-0049,0.55,0.54,68,4,samodzielna,wielkopolskie,call,0
LEAD-0050,0.18,0.08,44,13,przychodnia,mazowieckie,call,1
LEAD-0051,0.97,0.46,34,30,samodzielna,mazowieckie,call,1
LEAD-0052,0.78,0.48,77,49,przychodnia,wielkopolskie,call,0
LEAD-0053,0.94,0.17,42,18,samodzielna,wielkopolskie,email,0
LEAD-0054,0.89,0.95,9,8,samodzielna,wielkopolskie,call,1
LEAD-0055,0.6,0.85,7,14,przychodnia,pomorskie,call,1
LEAD-0056,0.92,0.67,68,3,samodzielna,pomorskie,offer,1
LEAD-0057,0.09,0.46,19,5,samodzielna,slaskie,call,0
LEAD-0058,0.2,0.41,31,11,samodzielna,pomorskie,offer,1
LEAD-0059,0.05,0.65,35,40,samodzielna,pomorskie,offer,0
LEAD-0060,0.33,0.55,57,25,przychodnia,mazowieckie,offer,1
LEAD-0061,0.39,0.06,85,18,przychodnia,slaskie,email,1
LEAD-0062,0.27,0.51,61,7,samodzielna,slaskie,email,0
LEAD-0063,0.83,0.81,31,20,samodzielna,pomorskie,offer,1
LEAD-0064,0.36,0.46,83,6,przychodnia,mazowieckie,email,0
LEAD-0065,0.28,0.05,53,33,samodzielna,mazowieckie,call,1
LEAD-0066,0.54,0.79,32,11,przychodnia,slaskie,email,0
LEAD-0067,0.14,0.2,66,10,samodzielna,mazowieckie,call,1
LEAD-0068,0.8,0.26,59,28,przychodnia,wielkopolskie,call,1
LEAD-0069,0.07,0.16,10,14,przychodnia,pomorskie,email,0
LEAD-0070,0.99,0.33,2,20,przychodnia,wielkopolskie,email,0
LEAD-0071,0.77,0.76,66,22,przychodnia,slaskie,offer,0
LEAD-0072,0.2,0.52,60,25,samodzielna,slaskie,email,0
LEAD-0073,0.01,0.2,88,39,samodzielna,mazowieckie,email,1
LEAD-0074,0.82,0.88,17,5,przychodnia,mazowieckie,email,1
LEAD-0075,0.71,0.88,16,25,przychodnia,slaskie,call,1
LEAD-0076,0.73,0.87,16,36,przychodnia,slaskie,call,1
LEAD-0077,0.77,0.24,46,4,przychodnia,wielkopolskie,call,1
LEAD-0078,0.07,0.45,39,5,samodzielna,wielkopolskie,offer,1
LEAD-0079,0.36,0.98,31,38,przychodnia,mazowieckie,offer,0
LEAD-0080,0.12,0.77,88,41,przychodnia,wielkopolskie,offer,1
LEAD-0081,0.86,0.03,1,49,przychodnia,mazowieckie,call,1
LEAD-0082,0.62,0.07,11,36,przychodnia,mazowieckie,email,0
LEAD-0083,0.33,0.46,85,32,przychodnia,pomorskie,offer,1
LEAD-0084,0.06,0.91,4,45,przychodnia,mazowieckie,offer,1
LEAD-0085,0.31,0.54,71,26,przychodnia,wielkopolskie,call,1
LEAD-0086,0.33,0.5,26,41,samodzielna,slaskie,offer,0
LEAD-0087,0.73,0.11,50,14,przychodnia,slaskie,email,0
LEAD-0088,0.64,0.66,12,5,przychodnia,wielkopolskie,call,1
LEAD-0089,0.89,0.82,81,47,przychodnia,slaskie,call,0
LEAD-0090,0.47,0.38,75,15,samodzielna,mazowieckie,email,1
LEAD-0091,0.12,0.78,65,14,samodzielna,slaskie,email,1
LEAD-0092,0.71,0.96,47,28,samodzielna,wielkopolskie,email,1
LEAD-0093,0.76,0.2,53,7,przychodnia,slaskie,offer,0
LEAD-0094,0.56,0.52,71,18,przychodnia,mazowieckie,email,1
LEAD-0095,0.77,0.29,2,37,przychodnia,mazowieckie,call,1
LEAD-0096,0.49,0.79,24,41,samodzielna,wielkopolskie,email,1
LEAD-0097,0.52,0.58,4,36,przychodnia,wielkopolskie,call,1
LEAD-0098,0.43,0.63,19,18,samodzielna,wielkopolskie,call,1
LEAD-0099,0.03,0.8,26,42,samodzielna,pomorskie,offer,0
LEAD-0100,0.11,0.4,75,3,samodzielna,pomorskie,email,1
LEAD-0101,0.03,0.92,40,14,samodzielna,mazowieckie,offer,0
LEAD-0102,0.64,0.53,50,3,samodzielna,pomorskie,email,1
LEAD-0103,0.31,0.16,43,29,przychodnia,pomorskie,email,0
LEAD-0104,0.51,0.7,75,44,przychodnia,slaskie,email,1
LEAD-0105,0.91,0.79,67,27,samodzielna,pomorskie,email,1
LEAD-0106,0.25,0.32,12,23,przychodnia,slaskie,email,0
LEAD-0107,0.41,0.86,67,48,przychodnia,wielkopolskie,call,0
LEAD-0108,0.76,0.91,27,44,samodzielna,slaskie,call,1
LEAD-0109,0.23,0.28,54,4,samodzielna,slaskie,email,0
LEAD-0110,0.08,0.98,66,36,przychodnia,wielkopolskie,call,0
LEAD-0111,0.29,0.14,49,13,przychodnia,wielkopolskie,offer,1
LEAD-0112,0.16,0.2,16,25,przychodnia,mazowieckie,offer,1
LEAD-0113,0.93,0.18,2,6,przychodnia,mazowieckie,offer,1
LEAD-0114,0.81,0.89,60,21,samodzielna,mazowieckie,email,1
LEAD-0115,0.63,0.65,54,40,przychodnia,mazowieckie,email,1
LEAD-0116,0.87,0.15,30,40,samodzielna,slaskie,call,0
LEAD-0117,0.8,0.44,84,14,samodzielna,slaskie,call,1
LEAD-0118,0.19,0.62,38,42,przychodnia,mazowieckie,call,0
LEAD-0119,0.89,0.08,28,46,przychodnia,pomorskie,offer,1
LEAD-0120,0.54,0.88,25,13,przychodnia,mazowieckie,offer,1
LEAD-0121,0.81,0.8,10,14,samodzielna,pomorskie,offer,0
LEAD-0122,0.9,0.51,60,11,samodzielna,wielkopolskie,offer,1
LEAD-0123,0.32,0.97,42,34,samodzielna,slaskie,call,0
LEAD-0124,0.11,0.42,40,41,samodzielna,slaskie,email,0
LEAD-0125,0.23,0.98,77,17,przychodnia,pomorskie,email,0
LEAD-0126,0.43,0.67,42,46,samodzielna,mazowieckie,offer,1
LEAD-0127,0.82,0.63,47,36,samodzielna,slaskie,email,1
LEAD-0128,0.86,0.17,37,4,przychodnia,pomorskie,email,1
LEAD-0129,0.01,0.88,80,6,samodzielna,wielkopolskie,email,1
LEAD-0130,0.51,0.43,22,27,samodzielna,wielkopolskie,offer,1
LEAD-0131,0.42,0.16,57,12,przychodnia,slaskie,call,1
LEAD-0132,0.22,0.01,84,8,samodzielna,mazowieckie,call,0
LEAD-0133,0.12,0.56,27,11,samodzielna,pomorskie,email,1
LEAD-0134,0.34,0.53,41,43,samodzielna,slaskie,call,1
LEAD-0135,0.94,0.72,80,35,samodzielna,wielkopolskie,call,1
LEAD-0136,0.32,0.89,34,4,przychodnia,mazowieckie,offer,1
LEAD-0137,0.52,0.08,32,9,samodzielna,pomorskie,offer,0
LEAD-0138,0.7,0.73,89,32,przychodnia,slaskie,email,0
LEAD-0139,0.36,0.19,66,12,samodzielna,pomorskie,email,0
LEAD-0140,0.97,0.86,12,46,przychodnia,mazowieckie,email,0
LEAD-0141,0.96,0.82,40,8,przychodnia,mazowieckie,offer,0
LEAD-0142,0.25,0.54,73,46,przychodnia,wielkopolskie,call,1
LEAD-0143,0.5,0.71,76,3,samodzielna,mazowieckie,offer,0
LEAD-0144,0.3,0.31,73,7,samodzielna,slaskie,offer,0
LEAD-0145,0.28,0.47,10,42,samodzielna,pomorskie,call,1
LEAD-0146,0.04,0.82,48,33,przychodnia,mazowieckie,call,1
LEAD-0147,0.61,0.46,20,21,samodzielna,mazowieckie,email,0
LEAD-0148,0.5,0.36,39,35,samodzielna,slaskie,call,1
LEAD-0149,0.05,0.49,60,17,samodzielna,pomorskie,call,1
LEAD-0150,0.28,0.83,66,26,samodzielna,pomorskie,call,0
LEAD-0151,0.91,0.34,65,13,przychodnia,wielkopolskie,call,1
LEAD-0152,0.24,0.17,51,8,przychodnia,wielkopolskie,email,0
LEAD-0153,0.14,0.71,36,40,samodzielna,pomorskie,email,0
LEAD-0154,0.49,0.83,24,18,samodzielna,slaskie,call,1
LEAD-0155,0.99,0.1,27,46,samodzielna,slaskie,call,0
LEAD-0156,0.24,0.24,2,12,przychodnia,wielkopolskie,email,0
LEAD-0157,0.67,0.14,31,7,samodzielna,mazowieckie,email,1
LEAD-0158,0.76,0.35,57,24,przychodnia,slaskie,call,1
LEAD-0159,0.24,0.45,78,28,przychodnia,mazowieckie,offer,1
LEAD-0160,0.73,0.75,66,47,samodzielna,slaskie,email,1
LEAD-0161,0.37,0.65,29,7,samodzielna,pomorskie,email,0
LEAD-0162,0.63,0.62,15,39,samodzielna,wielkopolskie,email,1
LEAD-0163,0.63,0.35,12,3,przychodnia,mazowieckie,call,1
LEAD-0164,0.54,0.84,28,23,przychodnia,mazowieckie,call,0
LEAD-0165,0.09,0.47,84,21,samodzielna,pomorskie,email,0
LEAD-0166,0.84,0.98,24,26,przychodnia,slaskie,call,0
LEAD-0167,0.32,0.63,21,16,samodzielna,mazowieckie,call,0
LEAD-0168,0.19,0.13,10,30,samodzielna,slaskie,email,1
LEAD-0169,0.04,0.68,78,9,przychodnia,pomorskie,call,1
LEAD-0170,0.59,0.33,18,38,przychodnia,wielkopolskie,offer,0
LEAD-0171,0.68,0.69,88,34,przychodnia,mazowieckie,call,0
LEAD-0172,0.02,0.07,14,23,przychodnia,slaskie,call,0
LEAD-0173,0.51,0.17,34,48,samodzielna,mazowieckie,email,0
LEAD-0174,0.23,0.86,58,6,samodzielna,slaskie,email,1
LEAD-0175,0.65,0.23,76,40,samodzielna,slaskie,offer,0
LEAD-0176,0.17,0.84,22,19,przychodnia,slaskie,call,1
LEAD-0177,0.69,0.28,70,39,samodzielna,pomorskie,offer,0
LEAD-0178,0.39,0.64,36,38,przychodnia,wielkopolskie,offer,1
LEAD-0179,0.94,0.69,45,31,przychodnia,mazowieckie,email,1
LEAD-0180,0.14,0.51,36,32,przychodnia,wielkopolskie,call,1
LEAD-0181,0.34,0.31,22,11,samodzielna,slaskie,email,1
LEAD-0182,0.11,0.21,78,16,przychodnia,slaskie,offer,0
LEAD-0183,0.92,0.03,80,43,przychodnia,wielkopolskie,offer,1
LEAD-0184,0.88,0.3,61,49,przychodnia,wielkopolskie,email,0
LEAD-0185,0.26,0.65,56,45,przychodnia,mazowieckie,email,1
LEAD-0186,0.66,0.94,89,19,przychodnia,slaskie,email,1
LEAD-0187,0.82,0.87,33,24,przychodnia,wielkopolskie,email,0
LEAD-0188,0.56,0.77,45,34,przychodnia,pomorskie,email,0
LEAD-0189,0.53,0.79,36,17,przychodnia,slaskie,offer,1
LEAD-0190,0.24,0.66,20,39,przychodnia,slaskie,email,1
LEAD-0191,0.09,0.26,18,36,przychodnia,mazowieckie,call,0
LEAD-0192,0.9,0.91,38,35,przychodnia,pomorskie,offer,1
LEAD-0193,0.9,0.67,67,29,przychodnia,mazowieckie,offer,0
LEAD-0194,0.63,0.56,23,3,samodzielna,pomorskie,call,0
LEAD-0195,0.34,0.11,16,31,samodzielna,mazowieckie,call,0
LEAD-0196,0.35,0.45,59,14,przychodnia,pomorskie,offer,1
LEAD-0197,0.73,0.46,69,42,przychodnia,pomorskie,email,1
LEAD-0198,0.9,0.86,68,17,przychodnia,pomorskie,offer,0
LEAD-0199,0.89,0.55,21,6,samodzielna,wielkopolskie,offer,0
LEAD-0200,0.78,0.38,78,29,samodzielna,slaskie,call,0
LEAD-0201,0.64,0.98,78,40,samodzielna,pomorskie,offer,0
LEAD-0202,0.08,0.11,70,46,przychodnia,wielkopolskie,email,1
LEAD-0203,0.16,0.42,12,21,przychodnia,wielkopolskie,call,0
LEAD-0204,0.9,0.04,16,25,przychodnia,mazowieckie,offer,1
LEAD-0205,0.61,0.74,81,28,przychodnia,slaskie,offer,0
LEAD-0206,0.01,0.92,87,31,samodzielna,slaskie,email,1
LEAD-0207,0.1,0.28,14,46,przychodnia,mazowieckie,offer,1
LEAD-0208,0.66,0.86,61,28,samodzielna,slaskie,offer,1
LEAD-0209,0.01,0.29,71,27,samodzielna,mazowieckie,offer,1
LEAD-0210,0.16,0.91,46,8,przychodnia,wielkopolskie,offer,1
LEAD-0211,0.55,0.75,32,43,samodzielna,wielkopolskie,email,0
LEAD-0212,0.69,0.8,15,48,samodzielna,pomorskie,offer,0
LEAD-0213,0.65,0.02,44,39,samodzielna,mazowieckie,offer,1
LEAD-0214,0.22,0.96,17,6,samodzielna,wielkopolskie,offer,0
LEAD-0215,0.71,0.73,41,24,przychodnia,wielkopolskie,call,0
LEAD-0216,0.24,0.3,54,29,przychodnia,mazowieckie,email,0
LEAD-0217,0.33,0.83,44,35,samodzielna,wielkopolskie,call,0
LEAD-0218,0.75,0.28,5,16,przychodnia,slaskie,call,0
LEAD-0219,0.65,0.87,27,33,samodzielna,wielkopolskie,email,0
LEAD-0220,0.85,0.11,87,27,przychodnia,mazowieckie,call,0
LEAD-0221,0.66,0.7,78,49,przychodnia,slaskie,call,1
LEAD-0222,0.57,0.54,79,32,przychodnia,slaskie,call,0
LEAD-0223,0.09,0.1,43,20,przychodnia,wielkopolskie,email,0
LEAD-0224,0.37,0.24,31,10,przychodnia,pomorskie,offer,0
LEAD-0225,0.27,0.01,17,30,samodzielna,slaskie,email,1
LEAD-0226,0.24,0.47,83,40,przychodnia,mazowieckie,email,1
LEAD-0227,0.97,0.3,54,5,samodzielna,pomorskie,email,0
LEAD-0228,0.39,0.6,62,4,samodzielna,pomorskie,call,1
LEAD-0229,0.89,0.3,87,30,przychodnia,slaskie,offer,1
LEAD-0230,0.63,0.3,32,12,samodzielna,wielkopolskie,email,0
LEAD-0231,0.79,0.74,40,34,przychodnia,pomorskie,email,1
LEAD-0232,0.5,0.05,13,39,samodzielna,wielkopolskie,offer,0
LEAD-0233,0.58,0.9,84,12,samodzielna,slaskie,offer,1
LEAD-0234,0.49,0.85,35,28,przychodnia,mazowieckie,offer,0
LEAD-0235,0.2,0.67,5,34,przychodnia,pomorskie,call,1
LEAD-0236,0.72,0.59,73,22,przychodnia,mazowieckie,offer,0
LEAD-0237,0.28,0.89,29,40,przychodnia,wielkopolskie,call,0
LEAD-0238,0.02,0.19,70,32,samodzielna,wielkopolskie,email,1
LEAD-0239,0.65,0.08,25,39,przychodnia,mazowieckie,call,0
LEAD-0240,0.18,0.24,22,47,samodzielna,slaskie,offer,0
LEAD-0241,0.94,0.79,66,3,samodzielna,slaskie,call,1
LEAD-0242,0.95,0.03,45,28,samodzielna,pomorskie,offer,0
LEAD-0243,0.91,0.58,69,37,samodzielna,pomorskie,call,0
LEAD-0244,0.37,1.0,89,12,samodzielna,slaskie,email,1
LEAD-0245,0.02,0.86,72,48,samodzielna,slaskie,call,0
LEAD-0246,0.93,0.52,1,19,przychodnia,mazowieckie,email,1
LEAD-0247,0.43,0.06,84,2,samodzielna,wielkopolskie,offer,0
LEAD-0248,0.97,0.83,44,36,samodzielna,wielkopolskie,email,1
LEAD-0249,0.96,0.6,87,36,samodzielna,pomorskie,offer,1
LEAD-0250,0.85,0.11,75,32,przychodnia,slaskie,offer,0
LEAD-0251,0.29,0.09,39,29,przychodnia,mazowieckie,email,1
LEAD-0252,0.39,0.91,54,40,samodzielna,pomorskie,email,0
LEAD-0253,0.85,0.67,88,2,przychodnia,mazowieckie,call,0
LEAD-0254,0.32,0.83,75,26,samodzielna,slaskie,call,1
LEAD-0255,0.17,0.88,29,44,przychodnia,slaskie,email,0
LEAD-0256,0.56,0.57,54,39,samodzielna,slaskie,email,0
LEAD-0257,0.94,0.52,16,21,przychodnia,wielkopolskie,email,1
LEAD-0258,0.7,0.43,20,4,przychodnia,slaskie,email,0
LEAD-0259,0.57,0.32,46,3,przychodnia,pomorskie,offer,0
LEAD-0260,0.1,0.43,67,19,samodzielna,wielkopolskie,email,1
LEAD-0261,0.62,0.77,65,45,samodzielna,mazowieckie,email,0
LEAD-0262,0.99,0.6,58,11,samodzielna,pomorskie,email,0
LEAD-0263,0.14,0.89,53,6,przychodnia,pomorskie,email,1
LEAD-0264,0.52,0.44,1,10,przychodnia,mazowieckie,offer,0
LEAD-0265,0.88,0.61,81,3,samodzielna,wielkopolskie,call,0
LEAD-0266,0.74,0.63,66,35,przychodnia,pomorskie,call,1
LEAD-0267,0.7,0.59,29,39,samodzielna,pomorskie,call,0
LEAD-0268,0.7,0.7,84,32,samodzielna,pomorskie,call,0
LEAD-0269,0.36,0.24,70,11,samodzielna,wielkopolskie,call,1
LEAD-0270,0.29,0.51,8,13,samodzielna,wielkopolskie,offer,1
LEAD-0271,0.81,0.1,29,37,przychodnia,wielkopolskie,call,0
LEAD-0272,0.81,0.38,51,22,przychodnia,pomorskie,offer,0
LEAD-0273,0.87,0.49,33,48,przychodnia,slaskie,offer,1
LEAD-0274,0.91,0.65,3,7,samodzielna,mazowieckie,call,0
LEAD-0275,0.51,0.95,60,49,przychodnia,slaskie,call,0
LEAD-0276,0.5,0.6,35,4,samodzielna,wielkopolskie,call,0
LEAD-0277,0.8,0.74,69,11,samodzielna,pomorskie,email,1
LEAD-0278,0.65,0.51,76,6,samodzielna,pomorskie,offer,0
LEAD-0279,0.7,0.63,84,47,samodzielna,slaskie,call,0
LEAD-0280,0.8,0.07,20,27,samodzielna,slaskie,email,1
LEAD-0281,0.89,0.25,73,22,samodzielna,mazowieckie,offer,1
LEAD-0282,0.34,0.36,39,46,przychodnia,pomorskie,email,1
LEAD-0283,0.38,0.47,4,27,przychodnia,slaskie,email,0
LEAD-0284,0.09,0.05,19,39,przychodnia,mazowieckie,call,0
LEAD-0285,0.58,0.14,45,45,przychodnia,wielkopolskie,offer,1
LEAD-0286,0.04,0.28,43,27,samodzielna,slaskie,email,0
LEAD-0287,0.47,0.97,13,9,samodzielna,wielkopolskie,offer,0
LEAD-0288,0.54,0.33,13,6,przychodnia,mazowieckie,call,0
LEAD-0289,0.29,0.48,60,16,przychodnia,wielkopolskie,offer,0
LEAD-0290,0.59,0.2,57,17,przychodnia,pomorskie,email,1
LEAD-0291,0.03,0.61,86,2,przychodnia,pomorskie,email,1
LEAD-0292,0.04,0.28,52,17,przychodnia,wielkopolskie,offer,0
LEAD-0293,0.82,0.21,53,38,przychodnia,pomorskie,email,1
LEAD-0294,0.36,0.52,86,4,przychodnia,mazowieckie,email,0
LEAD-0295,0.13,0.01,43,48,przychodnia,pomorskie,email,0
LEAD-0296,0.52,0.01,83,32,samodzielna,wielkopolskie,call,1
LEAD-0297,0.77,0.22,72,14,samodzielna,wielkopolskie,call,1
LEAD-0298,0.22,0.04,72,17,samodzielna,wielkopolskie,email,0
LEAD-0299,0.62,0.11,42,44,samodzielna,slaskie,offer,0
LEAD-0300,0.09,0.34,26,22,przychodnia,wielkopolskie,call,0
LEAD-0301,0.05,0.8,23,3,samodzielna,mazowieckie,offer,0
LEAD-0302,0.53,0.57,43,28,przychodnia,pomorskie,email,1
LEAD-0303,0.54,0.51,77,39,samodzielna,pomorskie,email,1
LEAD-0304,0.64,0.29,28,27,przychodnia,slaskie,offer,0
LEAD-0305,0.73,0.93,9,39,przychodnia,slaskie,call,0
LEAD-0306,0.98,0.4,20,47,samodzielna,mazowieckie,offer,1
LEAD-0307,0.52,0.09,56,26,samodzielna,wielkopolskie,offer,0
LEAD-0308,0.32,0.62,83,12,przychodnia,slaskie,email,1
LEAD-0309,0.8,0.11,39,9,przychodnia,pomorskie,call,0
LEAD-0310,0.27,0.35,51,9,przychodnia,slaskie,offer,1
LEAD-0311,0.44,0.51,12,34,samodzielna,slaskie,call,0
LEAD-0312,0.08,0.87,79,8,samodzielna,wielkopolskie,email,0
LEAD-0313,0.03,0.49,55,39,przychodnia,slaskie,call,0
LEAD-0314,0.96,0.7,78,22,samodzielna,mazowieckie,email,1
LEAD-0315,0.84,0.99,11,9,przychodnia,pomorskie,call,1
LEAD-0316,0.7,0.13,26,22,samodzielna,wielkopolskie,offer,0
LEAD-0317,0.41,0.27,42,21,samodzielna,pomorskie,email,0
LEAD-0318,0.17,0.39,27,9,samodzielna,mazowieckie,offer,0
LEAD-0319,0.16,0.42,11,47,samodzielna,mazowieckie,email,0
LEAD-0320,0.25,0.41,38,32,samodzielna,slaskie,call,1
LEAD-0321,0.55,0.91,43,30,przychodnia,slaskie,call,1
LEAD-0322,0.71,0.71,19,49,przychodnia,slaskie,email,1
LEAD-0323,0.66,0.61,64,10,samodzielna,pomorskie,email,0
LEAD-0324,0.28,0.31,6,16,przychodnia,mazowieckie,email,0
LEAD-0325,0.95,0.82,46,31,przychodnia,wielkopolskie,call,1
LEAD-0326,0.74,0.96,42,27,samodzielna,slaskie,email,0
LEAD-0327,0.55,0.82,65,11,przychodnia,pomorskie,email,1
LEAD-0328,0.61,0.0,72,30,samodzielna,slaskie,offer,1
LEAD-0329,0.42,0.64,59,17,przychodnia,mazowieckie,email,1
LEAD-0330,0.25,0.05,52,37,przychodnia,wielkopolskie,offer,1
LEAD-0331,0.36,0.26,47,21,przychodnia,mazowieckie,offer,0
LEAD-0332,0.76,0.06,7,46,przychodnia,pomorskie,offer,1
LEAD-0333,0.01,0.6,11,38,przychodnia,slaskie,call,0
LEAD-0334,0.12,0.69,61,23,przychodnia,mazowieckie,offer,1
LEAD-0335,0.05,0.11,68,8,przychodnia,pomorskie,email,1
LEAD-0336,0.04,0.38,25,24,samodzielna,slaskie,call,1
LEAD-0337,0.86,0.46,12,42,samodzielna,wielkopolskie,call,1
LEAD-0338,0.7,0.37,26,41,samodzielna,mazowieckie,call,0
LEAD-0339,0.47,0.12,12,30,samodzielna,slaskie,call,0
LEAD-0340,0.1,0.42,43,17,przychodnia,slaskie,call,0
LEAD-0341,0.49,0.75,51,39,przychodnia,slaskie,call,0
LEAD-0342,0.47,0.07,37,29,przychodnia,slaskie,call,1
LEAD-0343,0.17,0.08,46,49,samodzielna,mazowieckie,offer,0
LEAD-0344,0.43,0.35,53,39,samodzielna,slaskie,email,0
LEAD-0345,0.4,0.94,88,32,samodzielna,pomorskie,email,1
LEAD-0346,0.62,0.67,80,15,przychodnia,mazowieckie,offer,0
LEAD-0347,0.64,0.68,13,34,samodzielna,slaskie,offer,0
LEAD-0348,0.05,0.36,89,10,przychodnia,mazowieckie,call,0
LEAD-0349,0.37,0.59,54,28,samodzielna,pomorskie,call,0
LEAD-0350,0.63,0.01,57,25,przychodnia,pomorskie,offer,1
LEAD-0351,0.5,0.64,4,14,samodzielna,mazowieckie,call,1
LEAD-0352,0.86,0.91,75,27,przychodnia,slaskie,email,0
LEAD-0353,0.66,0.61,49,30,samodzielna,slaskie,email,1
LEAD-0354,0.16,0.87,7,44,samodzielna,pomorskie,call,0
LEAD-0355,0.07,0.72,11,29,przychodnia,slaskie,call,0
LEAD-0356,0.64,0.12,54,29,przychodnia,pomorskie,call,0
LEAD-0357,0.03,0.9,87,9,samodzielna,slaskie,email,1
LEAD-0358,0.59,0.07,45,24,przychodnia,pomorskie,call,1
LEAD-0359,0.94,0.53,23,30,samodzielna,wielkopolskie,offer,1
LEAD-0360,0.58,0.14,28,6,przychodnia,slaskie,call,1
LEAD-0361,0.39,0.01,57,43,samodzielna,slaskie,offer,1
LEAD-0362,0.64,0.42,26,8,przychodnia,slaskie,call,1
LEAD-0363,0.46,0.3,25,43,samodzielna,mazowieckie,call,0
LEAD-0364,0.55,0.49,54,37,samodzielna,slaskie,email,1
LEAD-0365,0.94,0.58,29,42,samodzielna,mazowieckie,offer,0
LEAD-0366,0.39,0.04,83,28,przychodnia,mazowieckie,offer,0
LEAD-0367,0.96,0.12,36,47,samodzielna,pomorskie,offer,1
LEAD-0368,0.91,0.56,14,3,przychodnia,mazowieckie,email,0
LEAD-0369,0.2,0.34,78,26,przychodnia,mazowieckie,offer,0
LEAD-0370,0.07,0.73,35,10,przychodnia,wielkopolskie,email,0
LEAD-0371,0.1,0.65,30,28,samodzielna,slaskie,call,1
LEAD-0372,0.02,0.85,17,2,przychodnia,mazowieckie,call,1
LEAD-0373,0.09,0.69,67,24,przychodnia,slaskie,offer,0
LEAD-0374,0.68,0.43,80,11,przychodnia,mazowieckie,call,1
LEAD-0375,0.07,0.67,30,43,samodzielna,pomorskie,call,0
LEAD-0376,0.32,0.28,45,26,przychodnia,wielkopolskie,offer,1
LEAD-0377,0.84,0.31,79,4,przychodnia,mazowieckie,call,0
LEAD-0378,0.02,0.79,89,7,przychodnia,slaskie,offer,0
